location,bedrooms,title,price,image,link
Dubai,5,Exclusive 5 BR | Type 7 | Upgraded Villa,"5,300,000 AED",https://www.propertyfinder.ae/property/efd129a7abfae264aa06523d60629f80/668/452/MODE/36c567/6043902-05d47o.jpg,https://www.propertyfinder.ae/en/buy/villa-for-sale-dubai-meadows-meadows-2-6043902.html
Dubai,5,Upgraded/5 Bed + Maids/Golf Course Views,"5,900,000 AED",https://www.propertyfinder.ae/property/f4aa0ee22af56828edd19227be494826/668/452/MODE/919e83/6168738-f61b7o.jpg,https://www.propertyfinder.ae/en/buy/villa-for-sale-dubai-arabian-ranches-al-mahra-6168738.html
Dubai,1,1 BR Townhouse / Nakheel/ Jumeirah Village Circle,"1,150,000 AED",https://www.propertyfinder.ae/property/3affd8a2c6ea2799285cf5fa3e6e17e8/668/452/MODE/6de906/6162188-3dec7o.jpg,https://www.propertyfinder.ae/en/buy/villa-for-sale-dubai-jumeirah-village-circle-district-12-6162188.html
Dubai,1,Distress Deal 1 BR Landscaped Single Row,"1,255,000 AED",https://www.propertyfinder.ae/property/57803036b4b44cbcf7c785bedd625353/668/452/MODE/e185e1/5864121-aa3aco.jpg,https://www.propertyfinder.ae/en/buy/villa-for-sale-dubai-jumeirah-village-triangle-district-9l-5864121.html
Dubai,1,READY TO MOVE luxury VILLA PAY 500K ONLY,"3,000,000 AED",https://www.propertyfinder.ae/property/1527345690/668/452/MODE/f9c731/6171132-c5e69o.jpg,https://www.propertyfinder.ae/en/buy/villa-for-sale-dubai-damac-hills-akoya-by-damac-artesia-artesia-a-6171132.html
Abu Dhabi,2,High end Double Row 2BR Villa with Garden,"1,300,000 AED",https://www.propertyfinder.ae/property/1528209073/668/452/MODE/77a98d/6190629-f10e1o.jpg,https://www.propertyfinder.ae/en/buy/villa-for-sale-abu-dhabi-al-reef-al-reef-villas-contemporary-style-6190629.html
Abu Dhabi,2,2 BR Single Row Villa for Sale Contemporary,"1,325,000 AED",https://www.propertyfinder.ae/property/41c3cd95830953490a5d50147da25f34/668/452/MODE/e884a3/6156985-f9e07o.jpg,https://www.propertyfinder.ae/en/buy/villa-for-sale-abu-dhabi-al-reef-al-reef-villas-contemporary-style-6156985.html
Abu Dhabi,2,Affordable Budget! Huge 2BR Corner Villa,"1,350,000 AED",https://www.propertyfinder.ae/property/4709864510d64dbb5ef5b65dd6c72d81/668/452/MODE/7a8a77/6189978-c871bo.jpg,https://www.propertyfinder.ae/en/buy/villa-for-sale-abu-dhabi-hydra-village-zone-7-6189978.html
Abu Dhabi,3,Luxurious and High end 3+M Villa +Garden,"2,900,000 AED",https://www.propertyfinder.ae/property/36ac6dee8a157804e811831481756ba3/668/452/MODE/d71466/5721017-b18deo.jpg,https://www.propertyfinder.ae/en/buy/villa-for-sale-abu-dhabi-al-raha-gardens-samra-community-5721017.html
Abu Dhabi,3,"Single Row! New Huge 3 BR Villa, Al Samha","1,800,000 AED",https://www.propertyfinder.ae/property/70bddd67f1ebc7a1503530e5768c6c2e/668/452/MODE/f0216c/6138310-781f1o.jpg,https://www.propertyfinder.ae/en/buy/villa-for-sale-abu-dhabi-al-samha-manazel-al-reef-2-6138310.html
Abu Dhabi,3,FORSALE 3 BEDROOM VILLA BLOOM IN GARDENS,"3,500,000 AED",https://www.propertyfinder.ae/property/4efcda46db40b623bb34bb73c1560f0c/668/452/MODE/b1ffa8/6171014-a861eo.jpg,https://www.propertyfinder.ae/en/buy/villa-for-sale-abu-dhabi-al-salam-street-bloom-gardens-6171014.html
Abu Dhabi,4,Invest in your Future or Live in luxury.,"4,500,000 AED",https://www.propertyfinder.ae/property/a36613140682ca72586ccd97cc75db99/668/452/MODE/a63d39/6089243-3ab9fo.jpg,https://www.propertyfinder.ae/en/buy/villa-for-sale-abu-dhabi-yas-island-west-yas-6089243.html
Abu Dhabi,4,Luxurious 4BR Villa in Al Saadiyat Beach,"6,900,000 AED",https://www.propertyfinder.ae/property/f7e1c8085139422f5851c852b1c67afe/668/452/MODE/65afe2/6095789-d2a78o.jpg,https://www.propertyfinder.ae/en/buy/villa-for-sale-abu-dhabi-saadiyat-island-saadiyat-beach-6095789.html
Abu Dhabi,4,Invest now! Low price Brand new 4BR villa,"4,280,000 AED",https://www.propertyfinder.ae/property/1528106978/668/452/MODE/0d5a7d/6186300-62c6eo.jpg,https://www.propertyfinder.ae/en/buy/villa-for-sale-abu-dhabi-yas-island-west-yas-6186300.html
Abu Dhabi,5,LUXURY VILLA 5BR FOR SALE IN HADD SADYAT,"9,200,000 AED",https://www.propertyfinder.ae/property/21b05c5bf4a981c60b8f9a3140ed1249/668/452/MODE/1260a4/6101535-86b04o.jpg,https://www.propertyfinder.ae/en/buy/villa-for-sale-abu-dhabi-saadiyat-island-hidd-al-saadiyat-6101535.html
Abu Dhabi,5,Exclusive 5BR Villa w/ Big Yard and Pool,"5,600,000 AED",https://www.propertyfinder.ae/en/buy/villa-for-sale-ras-al-khaimah-mina-al-arab-bermuda-5986334.html,https://www.propertyfinder.ae/en/buy/villa-for-sale-abu-dhabi-al-raha-golf-gardens-narjis-5721029.html`
Abu Dhabi,5,No Fees! T4 Type 5Bedroom Villa West Yas,"4,860,814 AED",https://www.propertyfinder.ae/property/4ff604ca317a8c1658123ceaeedc87a8/668/452/MODE/8c7655/6067950-43e32o.jpg,https://www.propertyfinder.ae/en/buy/villa-for-sale-abu-dhabi-yas-island-west-yas-6067950.html
Abu Dhabi,1,1 BR Townhouse / Nakheel/ Jumeirah Village Circle,"1,150,000 AED",https://www.propertyfinder.ae/property/3affd8a2c6ea2799285cf5fa3e6e17e8/668/452/MODE/6de906/6162188-3dec7o.jpg,https://www.propertyfinder.ae/en/buy/villa-for-sale-dubai-jumeirah-village-circle-district-12-6162188.html
Abu Dhabi,1,Distress Deal 1 BR Landscaped Single Row,"1,255,000 AED",https://www.propertyfinder.ae/property/57803036b4b44cbcf7c785bedd625353/668/452/MODE/e185e1/5864121-aa3aco.jpg,https://www.propertyfinder.ae/en/buy/villa-for-sale-dubai-jumeirah-village-triangle-district-9l-5864121.html
Abu Dhabi,1,READY TO MOVE luxury VILLA PAY 500K ONLY,"3,000,000 AED",https://www.propertyfinder.ae/property/1527345690/668/452/MODE/f9c731/6171132-c5e69o.jpg,https://www.propertyfinder.ae/en/buy/villa-for-sale-dubai-damac-hills-akoya-by-damac-artesia-artesia-a-6171132.html
Sharjah,2,Spacious city view excellent value - Al Qasemiya,"36,000 AED",https://www.propertyfinder.ae/property/29588e7a1db1954f4fc89f02bc7869b5/668/452/MODE/29efc6/6084172-b887eo.jpg,https://www.propertyfinder.ae/en/rent/apartment-for-rent-sharjah-al-qasemiya-6084172.html
Sharjah,2,Amazing Apt in Al Nahda -No Commission,"65,000 AED",https://www.propertyfinder.ae/property/e86957c10852692f358ada2b69a2f8d9/668/452/MODE/d362b9/5661404-79293o.jpg,https://www.propertyfinder.ae/en/rent/apartment-for-rent-sharjah-al-nahda-golden-sands-tower-5661404.html
Sharjah,2,Free A/C & Parking - Super Two Bedrooms - Direct from Owner,"60,000 AED",https://www.propertyfinder.ae/property/1524306885/668/452/MODE/e8d203/5316227-e5562o.jpg,https://www.propertyfinder.ae/en/rent/apartment-for-rent-sharjah-al-majaz-al-majaz-3-robot-park-tower-5316227.html
Sharjah,3,Reduced rents- Limited offer- Luxurious Al Ghazal,"82,500 AED",https://www.propertyfinder.ae/property/ad2467ee6477b2c330bfedf4eb950297/668/452/MODE/ce6b9f/5542566-70b09o.jpg,https://www.propertyfinder.ae/en/rent/apartment-for-rent-sharjah-al-khan-al-khan-lagoon-al-ghazal-tower-5542566.html
Sharjah,3,Free A/C & Parking - Specious 3 bhk for Rent - Direct from Owner,"70,000 AED",https://www.propertyfinder.ae/property/1502107406/668/452/MODE/7a75ab/5389762-7544co.jpg,https://www.propertyfinder.ae/en/rent/apartment-for-rent-sharjah-al-majaz-al-majaz-3-robot-park-tower-5389762.html
Sharjah,3,Spectacular View- 3 BR Apartment- No Commission,"70,000 AED",https://www.propertyfinder.ae/property/a53cae3a2bfdbcb199262aeffd35883d/668/452/MODE/ce3722/5664489-34853o.jpg,https://www.propertyfinder.ae/en/rent/apartment-for-rent-sharjah-al-nahda-golden-sands-tower-5664489.html
Sharjah,4,4 Bedroom Villa Available in Al Fayha,"130,000 AED",https://www.propertyfinder.ae/property/1526768215/668/452/MODE/5810c5/6160325-1b980o.jpg,https://www.propertyfinder.ae/en/rent/villa-for-rent-sharjah-al-fayha-6160325.html
Sharjah,4,"PANORAMIC VIEW,4BHK,AC PARKING FREE,88K","88,000 AED",https://www.propertyfinder.ae/property/1524839224/668/452/MODE/46c4f8/6115461-3f6f9o.jpg,https://www.propertyfinder.ae/en/rent/apartment-for-rent-sharjah-cornich-al-buhaira-al-majaz-tower-6115461.html
Sharjah,4,Chiller Free 4BHK with Maids Room 85-K,"85,000 AED",https://www.propertyfinder.ae/property/1527742047/668/452/MODE/e690eb/6179598-c2712o.jpg,https://www.propertyfinder.ae/en/rent/apartment-for-rent-sharjah-al-taawun-new-al-taawun-road-6179598.html
Sharjah,5,5 Bedroom Villa Available in Al Jazzat,"150,000 AED",https://www.propertyfinder.ae/property/1526770503/668/452/MODE/709978/6160341-06bd8o.jpg,https://www.propertyfinder.ae/en/rent/villa-for-rent-sharjah-al-riqqa-al-jazzat-6160341.html
Sharjah,5,Be the one to Live in modern masterpiece,"100,000 AED",https://www.propertyfinder.ae/property/8f1ac3261ed9875ee7f391836e79a71a/668/452/MODE/eb24fa/6156615-c9946o.jpg,https://www.propertyfinder.ae/en/rent/villa-for-rent-sharjah-al-heerah-al-nekhailat-6156615.html
Sharjah,5,BRAND NEW VILLAS IN ALJAZZAT RIQQA,"150,000 AED",https://www.propertyfinder.ae/property/1505131404/668/452/MODE/0d7819/5668791-d0619o.jpg,https://www.propertyfinder.ae/en/rent/villa-for-rent-sharjah-al-riqqa-al-jazzat-5668791.html
Sharjah,1,Fantastic 1bhk on dubai sharjah border,"28,000 AED",https://www.propertyfinder.ae/property/1527294685/668/452/MODE/9e36d5/6170474-0dad0o.jpg,https://www.propertyfinder.ae/en/rent/apartment-for-rent-sharjah-al-nahda-al-nada-tower-6170474.html
Sharjah,1,1BHK IN 30K IN 6 CHQS DEPOSIT JUST 1000,"30,000 AED ",https://www.propertyfinder.ae/property/1525021187/668/452/MODE/3b5b7f/6118386-07c9ao.jpg,https://www.propertyfinder.ae/en/rent/apartment-for-rent-sharjah-al-nahda-al-nadha-residential-complex-6118386.html
Sharjah,1,"1 MONTH FREE 1BHK IN 30K IN 8 CHQ,900sqt","30,000 AED ",https://www.propertyfinder.ae/property/1528287733/668/452/MODE/7d43ae/6192174-5422eo.jpg,https://www.propertyfinder.ae/en/rent/apartment-for-rent-sharjah-al-nahda-al-nadha-residential-complex-6185469.html
Fujairah,2,2 B/R for Rent in Khorfakkan Cornish,"25,000 AED",https://www.propertyfinder.ae/property/1524045714/668/452/MODE/56fa1c/6099576-fc35bo.jpg,https://www.propertyfinder.ae/en/rent/apartment-for-rent-fujairah-khor-fakkan-6099576.html
Fujairah,2,2 Bedroom Villa with Generous Plot – VOT,"1,665,000 AED",https://www.propertyfinder.ae/property/f2fc8bb5c6b674deceaca40300c8b917/668/452/MODE/ca767a/6139401-81450o.jpg,https://www.propertyfinder.ae/en/buy/villa-for-sale-dubai-the-springs-springs-14-6139401.html
Fujairah,2,Springs 14 | 2 Bed | Type 4M | Internal View,"1,490,000 AED",https://www.propertyfinder.ae/property/dac2c9a2e2715558d114cc0f66b2a5a7/668/452/MODE/2659c4/6130528-193c1o.jpg,https://www.propertyfinder.ae/en/buy/villa-for-sale-dubai-the-springs-springs-14-6130528.html
Fujairah,3,3 Bedroom Villa Golf view in Dubai South,"2,300,000 AED",https://www.propertyfinder.ae/property/97954fcff290f674c3673706d10b8a65/668/452/MODE/55cce2/5969767-edef2o.jpg,https://www.propertyfinder.ae/en/buy/villa-for-sale-dubai-dubai-south-dubai-world-central-emaar-south-golf-links-5969767.html
Fujairah,3,3 BED VILLA l CORNER UNIT l PARK FACING!,"3,400,000 AED",https://www.propertyfinder.ae/property/bd2225b0a7f1de6fa71ff4fd9849f932/668/452/MODE/2a5c4f/5531697-9862ao.jpg,https://www.propertyfinder.ae/en/buy/villa-for-sale-dubai-dubai-hills-estate-sidra-villas-sidra-villas-iii-5531697.html
Fujairah,3,"Single Row! New Huge 3 BR Villa, Al Samha","1,800,000 AED",https://www.propertyfinder.ae/property/70bddd67f1ebc7a1503530e5768c6c2e/668/452/MODE/f0216c/6138310-781f1o.jpg,https://www.propertyfinder.ae/en/buy/villa-for-sale-abu-dhabi-al-samha-manazel-al-reef-2-6138310.html
Fujairah,4,Luxurious 4BR Villa in Al Saadiyat Beach,"6,900,000 AED",https://www.propertyfinder.ae/property/f7e1c8085139422f5851c852b1c67afe/668/452/MODE/65afe2/6095789-d2a78o.jpg,https://www.propertyfinder.ae/en/buy/villa-for-sale-abu-dhabi-saadiyat-island-saadiyat-beach-6095789.html
Fujairah,4,Invest now! Low price Brand new 4BR villa,"4,280,000 AED",https://www.propertyfinder.ae/property/1528106978/668/452/MODE/0d5a7d/6186300-62c6eo.jpg,https://www.propertyfinder.ae/en/buy/villa-for-sale-abu-dhabi-yas-island-west-yas-6186300.html
Fujairah,4,Independent 4BR Villa|Nakheel Villas|JVC,"3,200,000 AED",https://www.propertyfinder.ae/property/071db06377b26a5da6bce0e195398f3e/668/452/MODE/c0e928/5767816-1ec95o.jpg,https://www.propertyfinder.ae/en/buy/villa-for-sale-dubai-jumeirah-village-circle-nakheel-villas-5767816.html
Fujairah,5,LUXURY VILLA 5BR FOR SALE IN HADD SADYAT,"9,200,000 AED",https://www.propertyfinder.ae/property/21b05c5bf4a981c60b8f9a3140ed1249/668/452/MODE/1260a4/6101535-86b04o.jpg,https://www.propertyfinder.ae/en/buy/villa-for-sale-abu-dhabi-saadiyat-island-hidd-al-saadiyat-6101535.html
Fujairah,5,Exclusive 5BR Villa w/ Big Yard and Pool,"5,600,000 AED",https://www.propertyfinder.ae/property/ccaa28eb6ddc1e8c0ce2ec7b65043655/668/452/MODE/decdb3/5721029-f4980o.jpg,https://www.propertyfinder.ae/en/buy/villa-for-sale-abu-dhabi-al-raha-golf-gardens-narjis-5721029.html`
Fujairah,5,No Fees! T4 Type 5Bedroom Villa West Yas,"4,860,814 AED",https://www.propertyfinder.ae/property/4ff604ca317a8c1658123ceaeedc87a8/668/452/MODE/8c7655/6067950-43e32o.jpg,https://www.propertyfinder.ae/en/buy/villa-for-sale-abu-dhabi-yas-island-west-yas-6067950.html
Fujairah,1,Spacious 1 Bedroom Khorfakkan Cornish,"25,000 AED",https://www.propertyfinder.ae/property/1524046046/668/452/MODE/37e097/6099598-1a714o.jpg,https://www.propertyfinder.ae/en/rent/apartment-for-rent-fujairah-khor-fakkan-6099598.html
Fujairah,1,Distress Deal 1 BR Landscaped Single Row,"1,255,000 AED",https://www.propertyfinder.ae/property/57803036b4b44cbcf7c785bedd625353/668/452/MODE/e185e1/5864121-aa3aco.jpg,https://www.propertyfinder.ae/en/buy/villa-for-sale-dubai-jumeirah-village-triangle-district-9l-5864121.html
Fujairah,1,READY TO MOVE luxury VILLA PAY 500K ONLY,"3,000,000 AED",https://www.propertyfinder.ae/property/1527345690/668/452/MODE/f9c731/6171132-c5e69o.jpg,https://www.propertyfinder.ae/en/buy/villa-for-sale-dubai-damac-hills-akoya-by-damac-artesia-artesia-a-6171132.html
Ras Al Khaimah,2,LUXURY VILLA FOR SALE !! 2 BHK Flamingo in Mina Al Arab Ras Al Khaimah,"1,000,000 AED",,https://www.propertyfinder.ae/en/buy/villa-for-sale-ras-al-khaimah-mina-al-arab-flamingo-villas-6119489.html
Ras Al Khaimah,2,Upgraded enclosed Garage + Landscaping,"1,275,000 AED",,https://www.propertyfinder.ae/en/buy/villa-for-sale-ras-al-khaimah-mina-al-arab-flamingo-villas-6084503.html
Ras Al Khaimah,2,Luxury Beachfront Chalet I 5 Star Hotel,"1,600,000 AED",,https://www.propertyfinder.ae/en/buy/villa-for-sale-ras-al-khaimah-ras-al-khaimah-waterfront-the-cove-rotana-6056736.html
Ras Al Khaimah,3,Beautiful 3 Bedroom Villa for Sale - Flamingo Villas - Mina Al Arab,"1,400,000 AED",,https://www.propertyfinder.ae/en/buy/villa-for-sale-ras-al-khaimah-mina-al-arab-flamingo-villas-6045025.html
Ras Al Khaimah,3,Amazing 3 Bedroom Villa For Sale - Flamingo Villas - Mina Al Arab,"1,300,000 AED",,https://www.propertyfinder.ae/en/buy/villa-for-sale-ras-al-khaimah-mina-al-arab-flamingo-villas-6119626.html
Ras Al Khaimah,3,Amazing Brand New 3 Bedroom Bayti Townhouse,"1,200,000 AED",,https://www.propertyfinder.ae/en/buy/villa-for-sale-ras-al-khaimah-al-hamra-village-bayti-townhouses-6031141.html
Ras Al Khaimah,4,"Private pool, Roof terrace in Al Hamra Village","2,200,000 AED",,https://www.propertyfinder.ae/en/buy/villa-for-sale-ras-al-khaimah-al-hamra-village-5651500.html
Ras Al Khaimah,4,HUGE PLOT Waterside Villa | Private Pool,"3,800,000 AED",,https://www.propertyfinder.ae/en/buy/villa-for-sale-ras-al-khaimah-al-hamra-village-al-hamra-lagoon-6179385.html
Ras Al Khaimah,4,Stunning Family Home-Mina Al Arab-Granada,"2,700,000 AED",,https://www.propertyfinder.ae/en/buy/villa-for-sale-ras-al-khaimah-mina-al-arab-granada-6014751.html
Ras Al Khaimah,5,Stunningly upgraded - 5 bedrooms duplex villa with pool,"2,750,000 AED",,https://www.propertyfinder.ae/en/buy/villa-for-sale-ras-al-khaimah-al-hamra-village-5832817.html
Ras Al Khaimah,5,Beachfront 5 br. Villa Type C I Elevator,"4,950,000 AED",,https://www.propertyfinder.ae/en/buy/villa-for-sale-ras-al-khaimah-al-hamra-village-al-hamra-lagoon-6037578.html
Ras Al Khaimah,5,Huge 5 BR (Furnished) Beachfront Villas,"7,900,000 AED",,https://www.propertyfinder.ae/en/buy/villa-for-sale-ras-al-khaimah-mina-al-arab-bermuda-5986334.html
Ras Al Khaimah,1,Magnificent Upgraded 1 bedroom Villa with views over the Sea,"1,250,000 AED",,https://www.propertyfinder.ae/en/buy/villa-for-sale-ras-al-khaimah-sheikh-mohammed-bin-zayed-road-2965075.html
Ras Al Khaimah,1,Furnished One Bedroom Villa- Cove Rotana,"850,000 AED",,https://www.propertyfinder.ae/en/buy/villa-for-sale-ras-al-khaimah-ras-al-khaimah-waterfront-the-cove-rotana-5903391.html
Ras Al Khaimah,1,Stunning location - Amazing Views - One bedroom villa,"825,000 AED",,https://www.propertyfinder.ae/en/buy/villa-for-sale-ras-al-khaimah-sheikh-mohammed-bin-zayed-road-5963147.html
